TEXT,RESULT
"Ia sama seperti menghina mahkamah di mana satu laporan polis boleh dibuat,",Negative
"PH Johor terkejut dengan berita penangkapan Mazlan Aliman di kediamannya dekat Felda Sungai Ramun, Kulai 1.53 pagi tadi.",Negative
"PH Johor juga mengecam tindakan polis yang berkeras menahan Mazlan pada waktu yang amat tidak munasabah sehingga menimbulkan tanda tanya, kesalahan berat apakah yang telah dilakukan oleh beliau?”",Neutral
Hal ini amat tidak masuk akal.,Negative
"Mazlan adalah individu yang dikenali ramai dan dari rekod lalu, beliau telah memberikan kerjasama yang sangat baik terhadap pihak berkuasa serta tidak pernah melarikan diri.",Positive
PH Johor mengesyaki penangkapan Mazlan bermotif politik. ,Negative
Pendedahan Mazlan berkaitan pembabitan isteri Perdana Menteri dalam isu kegagalan projek ikan sturgeon mutakhir ini barangkali menjadi antara faktor tangkapan ini dilakukan.,Neutral
"Kami berpendapat, sebarang persoalan mengaitkan isu politik yang timbul mestilah diselesaikan dengan hujah dan fakta.",Positive
Bukan mengekang dengan kuasa.,Positive
Ini adalah suatu bentuk tindakan dayus dan tidak bermaruah,Negative
"Ia merupakan suatu kezaliman terhadap anak, isteri dan keluarga Mazlan.",Negative
Ini masih dalam kajian sekarang ini dan kita akan umum dalam masa terdekat.,Neutral
"Sebab pertimbangan kita adalah kos, kalau yang asalnya ‘double formation single track’, sudah tentulah komprominya ialah kepantasan, jaminan dan keselamatan.",Neutral
"Tetapi kalau ‘double formation double track’ sudah tentu lebih efisien dan lebih mampu diurus lebih baik terutama dari segi jadual dan kelajuan kereta api,",Positive
Kita bagi 3 bulan kepada jawatankuasa.,Neutral
"Dalam jawatankuasa itu pun ada peguam penasihat yang dilantik dan semua bebas sebab kita menyiasat agensi sendiri,",Positive
Memang faktor umur memberi kesan tapi umumnya saya sihat walaupun saya ada sakit jantung,Positive
"Sihat tidak bermakna boleh berlari, saya aktif bukan sahaja tubuh badan tapi akal fikiran untuk menyelesaikan masalah. ",Neutral
 Ramai orang sampai 100 tahun boleh fikir dengan baik,Neutral
Kami melakukan kesilapan.,Negative
" Terdapat banyak lagi harus dilakukan, dan kami perlu meningkatkan usaha serta melaksanakannya",Positive
Saya nampak kawasan ini berpotensi besar dan saya fikir tumpuan yang kerajaan negeri berikan pada pelancongan desa di sini langkah yang betul.,Positive
"Sekarang ini, kira-kira 53,000 pelancong datang ke Kiulu setiap tahun dan saya harap jumlah itu akan cecah 100,000 kerana kerajaan akan terus membuat pelaburan dalam pembangunannya",Positive
Dr Mahathir tidak peduli orang di sini. ,Negative
Dia tak pernah peduli untuk beri jalan raya yang sangat diperlukan kepada rakyat.,Negative
"Sebaliknya, kerajaan sedia ada tidak sekadar berjanji atau bercakap untuk memburukkan orang lain. ",Positive
"Kita bawa pembangunan, bukan sahaja untuk Sabah tetapi ke seluruh Malaysia",Positive
Pembangkang tidak boleh berikan anda hak anda bawah Perjanjian Malaysia 1963 tetapi kami sedia menyerahkan hak yang mungkin secara tidak sengaja terambil daripada kerajaan negeri.,Negative
"Oleh itu, rakyat harus membalas bantuan itu di peti undi",Neutral
"Rakyat mahukan pembangunan dan kita bertuah ada perdana menteri yang banyak menyumbang kepada kita, membelanjakan hampir RM300 juta untuk Kiulu bagi membiayai projek ini.",Positive
"Di samping itu, beliau juga memberikan dana jutaan ringgit untuk pembangunan luar bandar, menyediakan antara lain elektrik dan jalan raya untuk rakyat.",Positive
Kita juga menerima RM1 bilion untuk membaiki sekolah-sekolah usang di seluruh Sabah,Positive
 Ini sebabnya kita berterima kasih ada seorang perdana menteri yang prihatin tentang Sabah,Positive
Rata-rata rakyat nampak ghairah mahu saya bertanding sebab sejak saya jadi wakil rakyat di sana. ,Positive
Emosi mereka cukup jelas,Positive
Mereka tahu buruk baik khidmat saya dan mereka boleh banding dengan wakil rakyat lain. ,Positive
Walaupun ‘janda’ banyak jugalah yang minat,Positive
"Kalau saya bertanding sebagai calon bebas, saya boleh dapat majoriti tidak kurang 5,000 undi kerana berlaku perpecahan undi",Neutral
"Saya boleh menang tapi kalau saya bertanding atas tiket parti, peluang nak menang lagi mudah, paling tidak majoriti tidak kurang 8,000 undi,",Positive
"Memandang kepada situasi kini, BN mendahului kerana dalam pertandingan 3 penjuru, undi PAS ditarik oleh Amanah",Neutral
Manifesto PAS saya baca sekali sahaja saya tahu dah retorik sahaja. ,Negative
"Tengok sahaja janjinya, sebelum ini nak buat jambatan merentasi Sungai Kelantan yang menghubungkan Kota Bharu dengan Tumpat, tidak jadi.",Negative
Projek Pelabuhan Darat Kuala Krai?,Neutral
Tidak jadi. ,Negative
Sana sini tidak jadi.,Negative
Bersyarah sahaja.,Neutral
Kes hudud pun tidak selesai jadi jangan buang masa,Negative
"Ada janji-janji parti tertentu yang betapa enak kita dengar, betapa seronok kita rasa tapi kalau boleh mengganggu gugat keselamatan negara ia tidak beri apa-apa erti,",Negative
"Satu perkara yang tidak harus dikompromikan oleh orang Bumiputera Islam ialah asas perlembagaan iaitu Islam agama persekutuan, Bahasa Melayu bahasa kebangsaan, kedaulatan raja-raja Melayu, hak istimewa dan hak kerakyatan.",Positive
"Tanpa disedari, walaupun perkara ini terpahat dalam Perlembagaan, tetapi ucapan-ucapan ceramah, pidato dan saya tengok dalam manifesto parti tertentu secara harus ada kena mengena untuk menidakkan Perlembagaan",Negative
Saya cukup beri perhatian berat kepada orang Sabah.,Positive
"Tak pernah dalam Kabinet Persekutuan, tak pernah dalam sejarah, 7 orang menteri berasal dari Sabah.",Positive
"Saya kira dalam masa lebih kurang 8 tahun ini, saya melawat Sabah lebih kerap daripada seorang yang menjadi perdana menteri selama 22 tahun",Positive
Jalan yang kita rasmi ini dicadangkan dalam Rancangan Malaysia Ketujuh lagi. ,Neutral
"an dari 1986 hingga 1990, waktu itu, orang berkenaan itu menjadi perdana menteri. ",Neutral
"Hari ini orang itu menawar diri nak kembali menjadi perdana menteri…hanya ketika saya menjadi perdana menteri, baru jalan ini diluluskan",Negative
"Macam kita buat di sini, di Kiulu ini, asas masa depan",Positive
Tuan-tuan berada di ambang perubahan yang besar dan kita boleh mencapai (perubahan besar) itu dengan syarat kita memberi sokongan padu kepada BN,Positive
"Negara muflis boleh bina Lebuhraya Pan Borneo bernilai RM18 bilion dari Sindumin, Sipitang hingga ke Tawau sepanjang 1,200 kilometer tanpa tol?",Neutral
Banyak (pemandu teksi) yang mengadu pendapatan mereka terjejas. ,Negative
Sebab itu kita memberi peluang kepada pemandu teksi untuk berhijrah.,Positive
"Sebab itu kalau dikira dari segi bilangannya, ia satu proses yang berterusan untuk didaftar kerana ada dalam kalangan mereka masih belum memahami kerana mereka boleh memanfaatkan ‘e-hailing’ ini",Positive
Pertama mereka boleh mengambil penumpang dari jalanan.,Positive
"Pada masa yang sama, kalau mereka berhijrah ke ‘e-hailing’ mereka boleh juga mengikut mana-mana syarikat yang ada di Malaysia ini tak kira Uber, Grab, mereka boleh manfaat dari situ menggunakan aplikasi (e-hailing).",Positive
"Kerajaan juga memberikan geran RM5,000 untuk mereka berhijrah kepada ‘e-hailing",Positive
"Jumlah ini mewakili semua penyedia perkhidmatan ‘e-hailing’ bukan sahaja Uber dan Grab tetapi semua syarikat tempatan,",Positive
"Apabila saya merujuk peraturan mesyuarat 95A, ia tak menyebutkan bahawa laporan persempadanan itu tidak boleh dibawa keluar.",Negative
"Jadi saya puas hati bahawa saya punya kuasa budi bicara, ia boleh dibawa keluar, tetapi menurut peraturan mesyuarat 95A, tidak boleh disiarkan dengan apa cara sekali pun",Positive
"Kalau Tan Sri tak benarkan kami membawa keluar, terpaksa akur. ",Positive
Tapi sekurang-kurangnya kita harus diberikan ruang untuk membacanya dan ini (laporan) panjang,Negative
"“Kita bukan mengugut pihak terbabit sebaliknya mahu memastikan perjalanan PRU14 lancar dan rakyat berasa selamat,",Positive
Polis akan memberi fokus kepada kawasan yang dijangka ada pertandingan sengit pada PRU14 ini demi menjaga ketenteraman awam,Positive
"(Tuduhan) Melayu akan hilang, azan tak berkumandang (dan seumpamanya).",Negative
"Saya mengaku, saya pun pernah sebut bila berdepan dengan hadirin yang 100% Melayu.",Positive
"Saya fikir balik memang rasa bersalah, menyesal kerana saya dah mula faham kerana ketika dalam Umno, DAP ini (dijadikan) ‘bogeyman",Negative
Walhal sekarang ini baru kita faham kita semua parti politik dalam negara yang kita sama-sama menjadi rakyat.,Positive
"Saya lihat sekarang cara DAP urus Pulau Pinang banyak kebaikan, orang Melayu sendiri iktiraf, jadi perkara itu tak timbul dah",Positive
Memang jelas Umno guna retorik semangat perkauman sehingga ke tahap menjejaskan hubungan dengan etnik lain. ,Negative
"Kita pertahankan hak keistimewaan Melayu, agama Islam sebagai agama persekutuan, bahasa Melayu sebagai bahasa kebangsaan dan kedaulatan",Positive
"Saya ingin ingatkan dokumen tersebut tidak boleh disiarkan sehingga dibentangkan Rabu 28 Mac,",Neutral
"Kedua, soal persempadanan ini telah dibawah ke mahkamah, semua orang telah baca di surat khabar, apa sangat yang mahu dibaca dokumen di hadapan itu.",Neutral
Saya nampak ia tebal sahaja tetapi perkara yang dibincang soal pokok semua yang berhormat tahu.,Neutral
"Jadi waktu berbahas nanti, saya tahu yang berhormat… selama 10 tahun (saya) duduk di sini semua cerdik, benda tak dibaca pun waktu berbahas boleh tahu, boleh sebut apa lagi perkara begitu telah dibincang lama. ",Positive
"Saya tak benarkan untuk dibawa keluar,",Negative
Bukan untuk menghalang kami membuat penelitian untuk menjadikan ia sebagai perbahasan nanti. ,Positive
"Macam Tan Sri mengatakan, apa sangat mahu dibaca, tak payah bentang",Negative
Kerana kita bercakap ribuan pengundi yang dipindahkan masuk ke semua kawasan Parlimen kami. ,Negative
Sudah tentu kalau boleh kami ada hak membacanya.,Neutral
" Kalau Tan Sri tak benarkan kami membawa keluar, terpaksa akur. ",Neutral
Tapi sekurang-kurangnya kita harus diberikan ruang untuk membacanya dan ini (laporan) panjang,Positive
"Kalau ahli berhormat baca untuk makluman sendiri dan beri jaminan kepada saya ianya tak terkeluar, sudah di depan di meja sana.",Positive
"Telah disebut tadi embargo sehingga Rabu, biar disitu dulu. ",Neutral
" Boleh rasa, pegang.",Positive
" Jadi selepas ini nanti saya akan pastikan, saya periksa dulu, boleh ke tidak.",Neutral
"Buat sementara, itulah perintah saya, jangan bawa ke mana-mana, jangan keluarkan di media",Neutral
"Kalau saya nak apa-apa dari awal saya tak masuk PPBM sebab saya tahu PPBM bukan ada duit,",Negative
"Pada waktu saya belum umum keluar parti, mereka kata saya makan dedak Umno tapi sekarang saya masuk PAS.",Neutral
"Kalau saya dapat dedak Umno, saya masuk Umno semalam,",Neutral
"Kalau nak kata PAS bayar kami, kita dah tahu PAS tak ada duit,",Neutral
Macam mana pula saya yang nak jadi calon sedangkan ketua bahagian ada?,Neutral
Saya berjuang semasa saya jadi penyelaras lagi.,Positive
Saya adalah ketua pendaftar bahagian dan kita yang buat kerja. ,Neutral
"Kalau kata saya nak jadi calon, jauh sekali, sebab saya tahu kemampuan saya",Neutral
Kata macam-macam sebab tak ada alasan…nak tutup malu sebab itu reka kata kami tak dapat habuan padahal malu sebab gagal urus parti.,Negative
Pengerusi negeri tapi tak kenal ahli bahagian.,Negative
Takkan kami nak ambil orang luar?,Neutral
"Kami boleh tunjuk nombor keahlian…kita tak buat kerja bodoh sebab kerja sebab kerja bodoh akan perangkap diri,",Positive
Ada lagi yang akan keluar cuma tunggu masa.,Neutral
"Saya tidak tahu sebab saya tak pernah ‘cucuk’ orang,",Neutral
"Jentera PH lemah, PAS masih kuat, kalau Datuk Husam Musa lawan Datuk Takiyuddin Hassan (Yang Dipertua PAS Kota Bharu) pun Husam akan kalah walaupun dia bekas exco",Negative
Saya berpegang teguh kepada kenyataan awal saya berkenaan dengan hal ini.,Positive
Sudah jelas bahawa Azrin berbohong,Negative
Kita semua harus sedar bahawa CA dan SCL ketika ini berdepan tuduhan telah menipu dan menyebarkan berita palsu untuk manfaat parti-parti politik tertentu yang melanggani perkhidmatan mereka,Negative
Amat bodoh sekali jika mereka harap rakyat kini akan mempercayai apa yang mereka katakan,Negative
"Saya ingin tahu bagaimana Azrin akan membuktikan bahawa dia seorang pegawai saya ketika saya memegang jawatan menteri besar Kedah, padahal setiap wakil media di Kedah tahu bahawa setiausaha akhbar saya waktu itu ialah Mohd Fisol Jaafar.",Neutral
Sehingga sekarang Mohd Fisol masih pegawai media saya,Neutral
"Lazimnya, mereka (orang tengah) akan menaikkan harga barangan dan salahkan kerajaan kononnya harga naik disebabkan GST.",Negative
"Jika kita bayar cukai, semestinya ingin melihat ia dibelanjakan untuk sesuatu yang perlu",Positive
Sebagai contoh pembayaran minimum dikenakan ketika mendapatkan perkhidmatan di hospital.,Neutral
Rakyat ingin lihat bagaimana kerajaan membelanjakan wang jika kerajaan mahu mengumpul RM40 bilion daripada kutipan GST setiap tahun,Positive
Cukai terpaksa dikenakan kerana kerajaan tidak mampu mencari sumber pendapatan lain bagi menampung beban hutang,Negative
"Saya lebih suka jika kita fokus kepada cara untuk selesaikan hutang negara, kadar GST akan dikurangkan di Malaysia bukan sebagaimana negara luar yang meningkat kadar GST bagi menyelesaikan soal hutang",Positive
"Menurut statistik yang dikeluarkan Trading Economics menunjukkan, hutang rakyat Malaysia adalah 84.6 peratus berbanding KDNK iaitu RM1.144 trilion",Negative
"Apabila diteliti, kita dapati, hutang rumah ini sebenarnya lebih banyak melibatkan golongan yang dikenali sebagai pelabur hartanah yang mana membeli rumah dengan jumlah yang banyak",Negative
"Golongan ini adalah di kalangan mereka yang mampu untuk membayar hutang perumahan, namun secara tidak langsung situasi ini juga menyebabkan harga rumah meningkat",Negative
Ini kerana wujudnya satu permintaan yang ‘tidak benar’ yang mendorong kenaikan harga rumah yang akhirnya menjadi punca sehingga rakyat tidak mampu membeli rumah,Negative
"Ini bermakna harga makanan RM100 pada 2010, meningkat kepada RM130 tahun lalu.",Negative
Mungkin tidak ramai yang perasan kerana kadang-kadang ia meningkat tiga peratus empat peratus setahu,Neutral
"Tetapi dalam tempoh tujuh tahun, baru nampak peningkatan itu",Neutral
"Kalau lihat barangan lain juga meningkat, hari ini kita lihat ramai mengeluh",Negative
"Ini menunjukkan seolah-olah ia sesuatu yang bagus, tetapi satu statistik yang perlu dipadankan dengan pendapatan adalah perbelanjaan",Positive
Tindakan ini wajar diikuti oleh Malaysia agar gejala songsang ini dapat dikawal,Positive
"Selain Facebook dan seumpamanya, aplikasi paling bahaya yang menyebabkan pergerakan ini bertambah kuat adalah melalui WeChat",Neutral
"Melalui medium ini, gabungan LGBT ini mula berhubung dan berkembang",Negative
Sama ada golongan LGBT mahupun remaja bermasalah lain yang kami temui,Neutral
Kebanyakannya berhubung melalui WeChat,Neutral
Gabungan ini semakin hari semakin kuat,Positive
Gerakan mereka mula berkembang dan berpegang dengan hak undang-undang,Positive
"Mereka juga sudah berani mencabar institusi negara, serta ingin mengubah perlembagaan negara",Negative
"Bukan sahaja di Malaysia, bahkan di luar negara",Neutral
"Di Pertubuhan Amal Firdausi, kami menyediakan satu platform untuk golongan ini kembali ke pangkal jalan",Positive
"Malah, turut membantu individu yang dijangkiti HIV untuk mendapatkan rawatan yang baik.",Positive
"Saya bersama Jakim, sama-sama turun ke lapangan untuk mendekati mereka",Positive
Mereka menerima kedatangan kami dengan baik,Positive
"Sepanjang program, Jabatan agama Islam Pahang antara terbaik dan banyak membantu golongan ini kembali ke pangkal jalan",Positive
"Namun, perlu diingat, mereka nampak lembut di luar namun keras di dalam",Neutral
Sebaiknya bimbing dan santuni mereka dengan baik,Positive
"Elakkan menghukum, biarpun mereka ini seorang pendosa",Positive
Apa pun ibu bapa perlu memainkan peranan masing-masing,Neutral
"Sekiranya mempunyai anak-anak yang bermasalah, doakan mereka agar bertaubat dan kembali ke pangkal jalan,",Positive
Hal ini jelas membuktikan bahawa aduan-aduan berkenaan datangnya daripada kumpulan dedak sistematik yang tujuannya hanya satu iaitu mengharamkan parti Bersatu,Negative
"Pemakan dedak ini cuak, Bersatu akan gantikan Umno dan Pakatan Harapan berjaya menumbangkan BN sebab itu mereka usahakan pelbagai cara untuk menghalang pendaftaran parti",Negative
"Bersatu masih menanti panggilan ROS, dan kami bersedia dan akur dengan cadangan yang bakal dikemukakan ROS jika terdapat sebarang masalah",Positive
ROS patut ambil maklum kerana siasatan mesti melibatkan dua pihak,Neutral
Kebanyakan pengadu yang tampil kepada ROS dan media biasanya bekas-bekas ahli yang disogok untuk memaparkan persepsi negatif terhadap Bersatu,Negative
Ini semua rancangan rangkaian dedak teratur yang cuba kelirukan rakyat dan burukkan Bersatu,Negative
"ROS masih siasat, ada banyak aduan",Neutral
"Kami juga tidak ada jangka masa untuk tamatkan proses ini,",Neutral
"Warganegara Malaysia yang berdaftar sebagai pemilih dan termasuk dalam kategori Pengundi Pos Dalam Negara, boleh membuat permohonan undi pos mulai hari ini",Positive
Itu yang terjadi apabila seseorang yang ambil dadah campuran ini yang mana mempunyai dos yang sangat tinggi lalu menyebabkan mereka berkelakuan berbeza daripada orang lain dan di luar jangkaan,Negative
"Antaranya bagi membaik pulih lif, pendawaian semula elektrik, mengecat semula bangunan, ganti bumbung, pasang pagar, ganti tangki air dan selenggara paip sanitari,",Positive
"Selain dapat menyelesaikan isu beg berat, penggunaan buku teks digital dapat menjadikan pelajar lebih berinteraktif",Positive
"Bagaimanapun kita sedang menunggu impak dia, dan setelah itu kita lihat sama ada berbaloi atau sesuai sebelum kita melaksanakan sepenuhnya penggunaan buku teks digital, kerana ia melibatkan kos yang sangat tinggi",Neutral
"Kalau nak dibandingkan dengan PRU yang lepas, kali ini jauh lebih bersedia untuk kita menghadapi PRU-14",Positive
"Kita mempunyai satu barisan kepimpinan yang baru, muda dan dinamik di bawah kepimpinan Lim",Positive
"Kita berharap segala persediaan dan program kemasyarakatan yang dilakukan selama ini dapat memberi kepuasan kepada semua pihak, sekali gus memilih calon MCA pada PRU14 nanti",Positive
"Bagaimanapun, cawangan KWSP Petaling Jaya ditutup buat sementara waktu dan ahli boleh melakukan transaksi di mana-mana cawangan lain atau menerusi I-Akaun",Neutral
Ini kerana pengundi parti kini menilai setiap aspek sebelum mereka membuat keputusan,Positive
"Rebutan pada segmen pengundi baharu terutama pengundi muda, pengundi wanita dan pengundi atas pagar",Neutral
"Dua parti terbesar orang Melayu, Umno dan Pas melalui perubahan drastik",Neutral
Media dan penganalisis politik melihat bahawa dengan bersandarkan keputusan dua pilihan raya ini jelas menyumbang kepada kelangsungan politik Umno dan BN untuk kekal sebagai parti pemerintah,Positive
Amanah dan Bersatu digambarkan gagal memenangi hati pengundi Melayu luar bandar kerana perpecahan ini,Positive
"Berdasarkan pengamatan dan kajian lapangan, kami dapati teori tiga penjuru menguntungkan BN sudah pun mempengaruhi persepsi awal pengundi yang ditemui kerana sudah dimainkan media arus perdana dan alternatif sejak Mei 2016",Positive
"Maka apabila kajian dilakukan, dan pengundi diajukan soalan pertembungan tiga penjuru menguntungkan siapa, sudah tentu majoriti responden yang ditanam dengan persepsi awal ini akan menjawab BN ada kelebihan berbanding parti lain",Positive
"Seperti yang diumumkan dalam Bajet 2018, sebanyak RM3.9 bilion disediakan untuk subsidi barang dan pengangkutan seperti gas memasak, tepung, minyak masak, dan banyak lagi",Positive
"Selain subsidi barang, terdapat subsidi elektrik dan tol supaya kenaikan kadar elektrik dan tol dapat dielakkan",Positive
Ini merupakan tindak balas daripada beliau selepas merasa terancam dengan pengumuman Tun Mahathir sebelum ini untuk bertanding di Pulau Langkawi,Negative
"Malah jika kita lihat, bukan Umno sahaja yang merasa terancam, malah Ahli Parlimen Langkawi, Datuk Ir Nawawi Ahmad juga sudah mula cemas dan takut dengan kehadiran Tun Mahathir sehingga beliau mengeluarkan dakwaan-dakwaan tak masuk akal",Negative
Kita tak nafikan memang ada pembangunan seperti pembinaan hotel baharu sewaktu zaman Najib namun umum perlu tahu di Langkawi sudah jadi kelaziman bagi pembinaan seperti itu,Positive
"Kita tak lihat ia adalah satu sumbangan jitu untuk bangunkan Pulau Langkawi memandangkan semasa zaman pemerintahan Tun Mahathir, lebih banyak idea-idea bernas oleh beliau untuk majukan penduduk di sini tanpa perbelanjaan yang tinggi,",Negative
Benarkah Shahrizat Abd Jalil turut mengadakan pertemuan bersama isteri Diplomat Israel,Neutral
"Selain hak ALLAH SWT yang wajib dipelihara, sebagai hamba ALLAH SWT kita juga punya hak sesama manusia untuk dijaga",Positive
"Hospital Medan Malaysia di Cox’s Bazar, Bangladesh bagi misi bantuan kemanusiaan Rohingya yang memulakan operasi pada 1 Disember lalu akan diteruskan sehingga akhir tahun ini",Positive
Beberapa kenyataan yang jelas telah dikeluarkan kerajaan negara pengeluar minyak sawit utama untuk menentang larangan itu,Neutral
"malah ada yang menyatakan kemungkinan tindakan atau tindak balas  perdagangan, termasuk merujukkanya ke Pertubuhan Perdagangan Dunia, bagi  menghalang EU daripada melaksanakan larangan minyak sawit untuk biofuel",Positive
Ada juga anggota Parlimen Eropah yang simpati dan mahu mengekalkan hubungan perdagangan yang baik dengan negara pengeluar minyak sawit,Positive
"Dijangkakan Majlis dan Suruhanjaya itu yang kompeten secara teknikal dengan kesan undang-undang, ekonomi dan saintifik mengenai pengharaman diskriminasi yang dicadangkan terhadap minyak sawit, tidak menyokong larangan terbabit",Positive
Kita berharap setiap larangan penggunaan biofuel pada masa akan datang untuk diluluskan dalam Rang Undang-Undang RED tidak akan mewujudkan diskriminasi terhadap minyak sawit,Positive
Kerajaan sedang meneliti bukan hanya desakan daripada NGO atau pemimpin pelbagai pihak tetapi juga berdasarkan tiga elemen penting dalam penubuhan RCI Isu Memali ini,Positive
Ketiga pula adakah ia mempunyai unsur penganiayaan serta kezaliman dan jika benar maka adalah menjadi tugas RCI menyiasat siapa orang yang menjadi tokoh penting yang menyuruhnya,Neutral
"Kita perlu melihat semula hubungan perdagangan kita dengan Ukraine kerana jumlah dagangan dua hala kita masih rendah, berikutan syarikat Malaysia tidak biasa dengan syarikat Ukraine dan begitu juga sebaliknya",Neutral
"Oleh itu, pada masa depan, kita perlu lebih banyak melibatkan diri dengan mereka",Positive
Kita mahu menggalakkan syarikat Malaysia pergi ke sana,Positive
Usaha kerajaan mendorong lebih banyak pelaburan swasta dalam meletak atur fiber baru-baru ini adalah bagi  mencapai matlamat negara untuk meningkatkan kelajuan jalur lebar dan menurunkan harga,Positive
Broadnet merupakan inisiatif swasta,Neutral
Kerajaan berharap ini dapat dilakukan secepat mungkin bagi mencapai  sasaran jalur lebar negara menjelang 2020,Positive
Program anjuran Barisan Nasional (BN) Kota Belud itu juga membuktikan keprihatinan parti tersebut dalam membantu mengurangkan kos sara hidup dan beban rakyat terutama dalam soal barang keperluan asas,Positive
"BN Kota Belud akan berusaha untuk mengadakan program ini sekerap yang mungkin bergantung kepada keadaan dan kita akan menentukan lokasi berbeza bagi memberi peluang kepada penduduk yang tinggal di pedalaman Kota Belud menikmati program ini,",Positive
"Moratorium mungkin bukan langkah yang baik kerana sudah ada lebih 200,000 dari mereka yang bekerja di Malaysia",Positive
"Kami mempunyai moratorium sebelum ini, tetapi ia tidak menghalang mereka daripada datang",Positive
Kita harus kembali ke papan lukisan untuk mengkaji dan melihat sistem yang lebih baik menguruskan kebajikan mereka di sini,Positive
Menyalahkan beberapa insiden malang dan mengambil langkah moratorium yang drastik untuk menghalang orang lain daripada mencari pekerjaan di Malaysia nampaknya bukan penyelesaian yang ideal,Negative
Kita harus mempunyai pemeriksaan yang lebih ketat terhadap majikan dan memastikan hanya pembantu rumah yang layak dan berkelayakan bekerja di sini,Positive
"Ini hanya kes terpencil, bukan berlaku (penderaaan dan kematian) setiap hari",Neutral
 Lebih 95 peratus majikan Malaysia majikan yang bertanggungjawab,Positive
Kes ini tidak boleh menggambarkan majikan di Malaysia secara keseluruhannya,Neutral
"Sebagai rakyat Malaysia, perkara sebegini tidak sepatutnya berlaku",Positive
"Tetapi kita percaya, undang -undang akan memastikan mereka yang bersalah di bawa ke muka pengadilan",Positive
"Benda ini berkaitan akidah, jadi kita tidak boleh melakukan sesuatu mengenai kepercayaan agama lain",Neutral
Tetapi kalau hal-hal sosial dan kemasyarakatan boleh,Positive
Kehadiran Israel pada Forum Bandar Sedunia Kesembilan (WUF9) adalah susulan undangan daripada Pertubuhan Bangsa-Bangsa Bersatu (PBB) bukan jemputan Malaysia,Neutral
Jawapan kelakar daripada Menteri,Negative
Rakyat Malaysia hendak tanya macam mana rakyat Israel masuk ke Malaysia,Neutral
Malaysia tidak ambil tahu siapa yang hendak masuk?,Neutral
Ini bahaya dari segi keselamatan,Negative
Orang boleh masuk ke negara ini,Neutral
"Sekarang pula, Malaysia tidak tahu menahu pula. ",Negative
Maklumlah acuan yang sama,Neutral
Ia merupakan usaha yang sangat dialu-alukan dan membawa impak baru dalam dunia perhotelan di negara ini,Positive
"Selain itu, Muslimat Pas juga ingin mencadangkan agar pihak pengusaha dan persatuan berbincang secara lebih mendalam berkenaan isu pelanggaran hak Muslim yang bekerja di hotel yang mengakibatkan polemik yang terjadi sebelum ini",Positive
"Dalam turutan kalendar Lunar masyarakat Cina, tahun ini adalah tahun anjing",Neutral
Oleh itu saya telah menyanyikan sebuah lagu tentang bunyi salakan anjing dalam setiap negara yang berbeza,Neutral
"Mungkin ada yang merasa terdapat kelakuan yang tidak senonoh dalam klip video tersebut, namun ia hanyalah untuk hiburan",Neutral
Kami tidak menyentuh mana-mana bahagian kawasan ibadah dalam muzik video tersebut dan saya minta semua pihak yang berkaitan agar tidak salah faham disebabkan oleh laporan berita yang tidak tepat,Positive
Tolong jangan libatkan saya dengan politik,Positive
Penggiat seni seperti kami susah nak cari makan dan hidup di Malaysia,Negative
Saya harap kerajaan akan bantu kami dan tolong henti hadkan kreativiti serta idea kami,Positive
Ini akhirnya akan meruntuhkan keharmonian kaum yang telah dibina selama ini,Negative
Saya percaya perbuatan jijik dan tidak bertanggungjawab Namewee in tidak mendapat sokongan rakyat berbilang kaum dan agama di negara ini,Positive
Tidak ada rakyat Malaysia yang mahukan perasaan kebencian ini terus ditanam dan disemai di dalam jati diri setiap warganegara,Positive
Tidak mustahil ia juga akan jadi ikutan kepada orang lain untuk menghina bangsa lain pula untuk dijadikan alat bagi mempopularkan diri mereka,Negative
Saya merayu kepada pihak SKMM untuk sekat dan ambil tindakan sewajarnya terhadap Namewee dengan secepat mungkin,Positive
Hospital Langkawi buat masa ini hanya dapat menampung 110 katil pesakit manakala kadar penggunaan katil hampir  mencecah 90 peratus,Positive
"Oleh itu, projek bangunan tambahan Hospital Langkawi telah diluluskan di bawah Rolling Plan Ketiga RMK-11",Positive
Pelaksanaan projek ini telah bermula awal tahun ini dan dijangka siap pada 2022,Neutral
"Seseorang individu, sejauh mana dia popular suatu ketika dahulu pun tidak boleh membawa perubahan tanpa ada kekuatan parti di belakangnya",Negative
"Tanpa sokongan kerajaan pusat, kita akan masuk ketika zaman kelam…kita jangan balik ke zaman tersebut tetapi mesti melihat ke hadapan",Negative
"Tetapi penyelenggaraan ini ada skop tertentu yang perlu mendapat kelulusan Kementerian Kewangan dan ia merangkumi pembaikan kecil seperti bumbung, tandas, paip dan kerja-kerja elektrikal sahaja",Positive
Ia bukan pembaikan struktur bangunan kerana ia perlu merujuk kepada JKR,Neutral
Kita tahu kebanyakan sekolah perlu diselenggarakan daripada semasa ke semasa,Positive
"Ia dibuat menerusi undian, kita buka kepada sesiapa yang mohon sebelum ini dan pada hari berkenaan kita akan umumkan nama dan keluarkan surat tawaran segera",Neutral
"Pertama, guru-guru itu sudah mempunyai kediaman sendiri dan kebanyakannya mengajar di kawasan masing-masing, jadi mereka tak perlu kuarters itu",Neutral
